,loan_amount,emp_length,home_ownership,income,loan_purpose,debt_to_income,credit_score,recent_inquiry,delinquent,credit_accounts,bad_public_record,credit_utilization,past_bankrupt,outcome
1,LOW,10+ years,RENT,LOW,credit_card,HIGH,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO,repaid
2,LOW,< 2 years,RENT,LOW,car,LOW,AVERAGE,YES,NEVER,FEW,NO,LOW,NO,default
8,LOW,6 - 9 years,RENT,MEDIUM,car,LOW,LOW,YES,NEVER,FEW,NO,HIGH,NO,repaid
9,MEDIUM,2 - 5 years,OWN,MEDIUM,small_business,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
10,LOW,< 2 years,RENT,LOW,other,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO,default
13,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO,default
15,MEDIUM,2 - 5 years,RENT,HIGH,other,LOW,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO,default
18,LOW,10+ years,MORTGAGE,HIGH,major_purchase,AVERAGE,HIGH,NO,NEVER,MANY,NO,LOW,NO,repaid
22,HIGH,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO,default
25,MEDIUM,< 2 years,RENT,MEDIUM,major_purchase,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
27,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
28,LOW,2 - 5 years,RENT,MEDIUM,other,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO,default
33,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO,repaid
39,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,repaid
41,MEDIUM,2 - 5 years,RENT,MEDIUM,other,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO,repaid
44,LOW,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO,repaid
47,LOW,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO,default
48,MEDIUM,6 - 9 years,RENT,LOW,other,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO,repaid
51,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
54,MEDIUM,2 - 5 years,RENT,MEDIUM,car,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO,default
55,MEDIUM,< 2 years,RENT,MEDIUM,credit_card,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,repaid
56,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO,default
57,HIGH,6 - 9 years,RENT,HIGH,credit_card,HIGH,LOW,YES,NEVER,MANY,NO,HIGH,NO,repaid
60,MEDIUM,< 2 years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO,repaid
65,MEDIUM,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,HIGH,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
66,LOW,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,repaid
67,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,YES,MEDIUM,YES,default
69,MEDIUM,2 - 5 years,RENT,MEDIUM,small_business,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO,default
72,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO,default
76,MEDIUM,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO,repaid
79,HIGH,< 2 years,MORTGAGE,MEDIUM,small_business,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO,repaid
88,LOW,< 2 years,MORTGAGE,MEDIUM,car,LOW,HIGH,NO,NEVER,FEW,NO,HIGH,NO,repaid
96,HIGH,6 - 9 years,RENT,HIGH,credit_card,HIGH,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO,repaid
98,HIGH,6 - 9 years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO,default
99,LOW,10+ years,MORTGAGE,HIGH,car,LOW,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,LOW,NO,repaid
101,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
106,HIGH,10+ years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO,default
112,MEDIUM,6 - 9 years,OWN,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO,repaid
114,MEDIUM,2 - 5 years,MORTGAGE,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO,repaid
115,MEDIUM,< 2 years,RENT,MEDIUM,credit_card,HIGH,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO,default
121,HIGH,10+ years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO,default
122,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO,default
125,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO,default
132,HIGH,6 - 9 years,MORTGAGE,HIGH,home_improvement,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
133,MEDIUM,2 - 5 years,MORTGAGE,LOW,medical,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO,repaid
138,MEDIUM,10+ years,RENT,MEDIUM,credit_card,HIGH,HIGH,YES,NEVER,AVERAGE,NO,MEDIUM,NO,default
141,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO,repaid
143,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
146,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
150,MEDIUM,2 - 5 years,OWN,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
152,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
154,MEDIUM,10+ years,RENT,LOW,credit_card,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
156,MEDIUM,< 2 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,IN PAST 2 YEARS,AVERAGE,NO,HIGH,NO
157,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
161,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
163,MEDIUM,2 - 5 years,OWN,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
168,HIGH,10+ years,OWN,MEDIUM,debt_consolidation,AVERAGE,HIGH,YES,NEVER,FEW,NO,MEDIUM,NO
169,LOW,unemployed,OWN,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
171,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
176,MEDIUM,2 - 5 years,RENT,MEDIUM,small_business,LOW,AVERAGE,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
177,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
178,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
180,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
183,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,AVERAGE,NO,MEDIUM,NO
184,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
189,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
196,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,other,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
197,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
199,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
204,MEDIUM,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
205,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
208,MEDIUM,10+ years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
209,MEDIUM,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
213,HIGH,10+ years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
214,LOW,< 2 years,RENT,LOW,credit_card,HIGH,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
218,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
221,MEDIUM,< 2 years,MORTGAGE,MEDIUM,moving,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
225,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
226,HIGH,10+ years,MORTGAGE,MEDIUM,home_improvement,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
227,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,credit_card,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
228,LOW,< 2 years,RENT,MEDIUM,major_purchase,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
232,MEDIUM,2 - 5 years,RENT,MEDIUM,credit_card,LOW,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
234,LOW,2 - 5 years,MORTGAGE,MEDIUM,other,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
240,HIGH,10+ years,RENT,MEDIUM,vacation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
244,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
245,MEDIUM,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
246,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
249,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
252,LOW,2 - 5 years,RENT,LOW,debt_consolidation,LOW,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
253,MEDIUM,10+ years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
