,daytype,hourtype,location
1,weekday,night,home
2,weekday,night,home
3,weekday,night,home
4,weekday,night,home
5,weekday,night,home
6,weekday,night,home
7,weekday,morning,home
8,weekday,morning,home
9,weekday,morning,home
10,weekday,morning,office
11,weekday,morning,office
12,weekday,morning,office
13,weekday,afternoon,office
14,weekday,afternoon,office
15,weekday,afternoon,office
16,weekday,afternoon,office
17,weekday,afternoon,office
18,weekday,afternoon,office
19,weekday,evening,home
20,weekday,evening,home
21,weekday,evening,home
22,weekday,evening,home
23,weekday,night,home
24,weekday,night,home
25,weekday,night,home
26,weekday,night,home
27,weekday,night,home
28,weekday,night,home
29,weekday,night,home
30,weekday,night,home
31,weekday,morning,home
32,weekday,morning,home
33,weekday,morning,home
34,weekday,morning,office
35,weekday,morning,office
36,weekday,morning,restaurant
37,weekday,afternoon,restaurant
38,weekday,afternoon,office
39,weekday,afternoon,office
40,weekday,afternoon,office
41,weekday,afternoon,office
42,weekday,afternoon,office
43,weekday,evening,office
44,weekday,evening,home
45,weekday,evening,home
46,weekday,evening,home
47,weekday,night,home
48,weekday,night,home
49,weekday,night,home
50,weekday,night,home
51,weekday,night,home
52,weekday,night,home
53,weekday,night,home
54,weekday,night,home
55,weekday,morning,home
56,weekday,morning,home
57,weekday,morning,home
58,weekday,morning,office
59,weekday,morning,office
60,weekday,morning,restaurant
61,weekday,afternoon,restaurant
62,weekday,afternoon,campus
63,weekday,afternoon,campus
64,weekday,afternoon,campus
65,weekday,afternoon,campus
66,weekday,afternoon,home
67,weekday,evening,home
68,weekday,evening,home
69,weekday,evening,home
70,weekday,evening,store
71,weekday,night,store
72,weekday,night,home
73,weekend,night,home
74,weekend,night,home
75,weekend,night,home
76,weekend,night,home
77,weekend,night,home
78,weekend,night,home
79,weekend,morning,home
80,weekend,morning,home
81,weekend,morning,home
82,weekend,morning,home
83,weekend,morning,home
84,weekend,morning,home
85,weekend,afternoon,home
86,weekend,afternoon,home
87,weekend,afternoon,home
88,weekend,afternoon,home
89,weekend,afternoon,home
90,weekend,afternoon,home
91,weekend,evening,home
92,weekend,evening,home
93,weekend,evening,home
94,weekend,evening,home
95,weekend,night,home
96,weekend,night,home
97,weekend,night,home
98,weekend,night,home
99,weekend,night,home
100,weekend,night,home
101,weekend,night,home
102,weekend,night,home
103,weekend,morning,home
104,weekend,morning,home
105,weekend,morning,home
106,weekend,morning,home
107,weekend,morning,home
108,weekend,morning,home
109,weekend,afternoon,home
110,weekend,afternoon,restaurant
111,weekend,afternoon,restaurant
112,weekend,afternoon,home
113,weekend,afternoon,home
114,weekend,afternoon,home
115,weekend,evening,home
116,weekend,evening,home
117,weekend,evening,home
118,weekend,evening,home
119,weekend,night,home
120,weekend,night,home
121,weekday,night,home
122,weekday,night,home
123,weekday,night,home
124,weekday,night,home
125,weekday,night,home
126,weekday,night,home
127,weekday,morning,home
128,weekday,morning,home
129,weekday,morning,campus
130,weekday,morning,campus
131,weekday,morning,campus
132,weekday,morning,office
133,weekday,afternoon,restaurant
134,weekday,afternoon,office
135,weekday,afternoon,office
136,weekday,afternoon,office
137,weekday,afternoon,office
138,weekday,afternoon,office
139,weekday,evening,store
140,weekday,evening,home
141,weekday,evening,home
142,weekday,evening,home
143,weekday,night,home
144,weekday,night,home
145,weekday,night,home
146,weekday,night,home
147,weekday,night,home
148,weekday,night,home
149,weekday,night,home
150,weekday,night,home
151,weekday,morning,home
152,weekday,morning,home
153,weekday,morning,home
154,weekday,morning,home
155,weekday,morning,office
156,weekday,morning,restaurant
157,weekday,afternoon,restaurant
158,weekday,afternoon,office
159,weekday,afternoon,office
160,weekday,afternoon,office
161,weekday,afternoon,office
162,weekday,afternoon,office
163,weekday,evening,home
164,weekday,evening,home
165,weekday,evening,home
166,weekday,evening,home
167,weekday,night,home
168,weekday,night,home
169,weekday,night,home
170,weekday,night,home
171,weekday,night,home
172,weekday,night,home
173,weekday,night,home
174,weekday,night,home
175,weekday,morning,home
176,weekday,morning,home
177,weekday,morning,restaurant
178,weekday,morning,appointment
179,weekday,morning,appointment
180,weekday,morning,restaurant
181,weekday,afternoon,restaurant
182,weekday,afternoon,campus
183,weekday,afternoon,campus
184,weekday,afternoon,campus
185,weekday,afternoon,campus
186,weekday,afternoon,campus
187,weekday,evening,restaurant
188,weekday,evening,home
189,weekday,evening,home
190,weekday,evening,home
191,weekday,night,home
192,weekday,night,home
193,weekday,night,home
194,weekday,night,home
195,weekday,night,home
196,weekday,night,home
197,weekday,night,home
198,weekday,night,home
199,weekday,morning,home
200,weekday,morning,home
201,weekday,morning,home
202,weekday,morning,office
203,weekday,morning,office
204,weekday,morning,restaurant
205,weekday,afternoon,restaurant
206,weekday,afternoon,office
207,weekday,afternoon,office
208,weekday,afternoon,office
209,weekday,afternoon,office
210,weekday,afternoon,office
211,weekday,evening,office
212,weekday,evening,home
213,weekday,evening,store
214,weekday,evening,store
215,weekday,night,home
216,weekday,night,home
217,weekday,night,home
218,weekday,night,home
219,weekday,night,home
220,weekday,night,home
221,weekday,night,home
222,weekday,night,home
223,weekday,morning,home
224,weekday,morning,home
225,weekday,morning,home
226,weekday,morning,office
227,weekday,morning,office
228,weekday,morning,restaurant
229,weekday,afternoon,restaurant
230,weekday,afternoon,campus
231,weekday,afternoon,campus
232,weekday,afternoon,campus
233,weekday,afternoon,campus
234,weekday,afternoon,campus
235,weekday,evening,restaurant
236,weekday,evening,home
237,weekday,evening,home
238,weekday,evening,home
239,weekday,night,home
240,weekday,night,home
241,weekend,night,home
242,weekend,night,home
243,weekend,night,home
244,weekend,night,home
245,weekend,night,home
246,weekend,night,home
247,weekend,morning,home
248,weekend,morning,home
249,weekend,morning,home
250,weekend,morning,home
251,weekend,morning,home
252,weekend,morning,home
253,weekend,afternoon,restaurant
254,weekend,afternoon,restaurant
255,weekend,afternoon,home
256,weekend,afternoon,home
257,weekend,afternoon,home
258,weekend,afternoon,appointment
259,weekend,evening,appointment
260,weekend,evening,store
261,weekend,evening,restaurant
262,weekend,evening,home
263,weekend,night,home
264,weekend,night,home
265,weekend,night,home
266,weekend,night,home
267,weekend,night,home
268,weekend,night,home
269,weekend,night,home
270,weekend,night,home
271,weekend,morning,home
272,weekend,morning,home
273,weekend,morning,home
274,weekend,morning,home
275,weekend,morning,home
276,weekend,morning,home
277,weekend,afternoon,restaurant
278,weekend,afternoon,restaurant
279,weekend,afternoon,home
280,weekend,afternoon,home
281,weekend,afternoon,home
282,weekend,afternoon,home
283,weekend,evening,store
284,weekend,evening,restaurant
285,weekend,evening,home
286,weekend,evening,home
287,weekend,night,home
288,weekend,night,home
289,weekday,night,home
290,weekday,night,home
291,weekday,night,home
292,weekday,night,home
293,weekday,night,home
294,weekday,night,home
295,weekday,morning,home
296,weekday,morning,home
297,weekday,morning,home
298,weekday,morning,office
299,weekday,morning,office
300,weekday,morning,restaurant
301,weekday,afternoon,office
302,weekday,afternoon,office
303,weekday,afternoon,office
304,weekday,afternoon,office
305,weekday,afternoon,office
306,weekday,afternoon,office
307,weekday,evening,home
308,weekday,evening,home
309,weekday,evening,home
310,weekday,evening,home
311,weekday,night,home
312,weekday,night,home
313,weekday,night,home
314,weekday,night,home
315,weekday,night,home
316,weekday,night,home
317,weekday,night,home
318,weekday,night,home
319,weekday,morning,home
320,weekday,morning,home
321,weekday,morning,home
322,weekday,morning,home
323,weekday,morning,office
324,weekday,morning,restaurant
325,weekday,afternoon,restaurant
326,weekday,afternoon,office
327,weekday,afternoon,office
328,weekday,afternoon,office
329,weekday,afternoon,office
330,weekday,afternoon,office
331,weekday,evening,store
332,weekday,evening,home
333,weekday,evening,home
334,weekday,evening,home
335,weekday,night,home
336,weekday,night,home
337,weekday,night,home
338,weekday,night,home
339,weekday,night,home
340,weekday,night,home
341,weekday,night,home
342,weekday,night,home
343,weekday,morning,home
344,weekday,morning,home
345,weekday,morning,home
346,weekday,morning,office
347,weekday,morning,office
348,weekday,morning,restaurant
349,weekday,afternoon,office
350,weekday,afternoon,office
351,weekday,afternoon,campus
352,weekday,afternoon,campus
353,weekday,afternoon,campus
354,weekday,afternoon,home
355,weekday,evening,home
356,weekday,evening,home
357,weekday,evening,home
358,weekday,evening,home
359,weekday,night,home
360,weekday,night,home
361,weekday,night,home
362,weekday,night,home
363,weekday,night,home
364,weekday,night,home
365,weekday,night,home
366,weekday,night,home
367,weekday,morning,home
368,weekday,morning,home
369,weekday,morning,home
370,weekday,morning,office
371,weekday,morning,office
372,weekday,morning,office
373,weekday,afternoon,office
374,weekday,afternoon,office
375,weekday,afternoon,office
376,weekday,afternoon,office
